Time,SourceSatellite,TargetSatellite,Distance
2020-08-01 16:10:00,Sat1_9,Sat2_9,819.6857282358609
2020-08-01 16:15:00,Sat1_9,Sat2_9,816.9507547444664
2020-08-01 16:20:00,Sat1_9,Sat2_9,786.1602513555171
2020-08-01 16:25:00,Sat1_9,Sat2_9,737.7990872121477
2020-08-01 16:30:00,Sat1_9,Sat2_9,690.625264896796
2020-08-01 16:00:00,Sat1_9,Sat1_10,1971.963783786922
2020-08-01 16:05:00,Sat1_9,Sat1_10,1971.963783786923
2020-08-01 16:10:00,Sat1_9,Sat1_10,1971.9637837869218
2020-08-01 16:15:00,Sat1_9,Sat1_10,1971.9637837869232
2020-08-01 16:20:00,Sat1_9,Sat1_10,1971.963783786922
2020-08-01 16:25:00,Sat1_9,Sat1_10,1971.9637837869207
2020-08-01 16:30:00,Sat1_9,Sat1_10,1971.9163787070486
2020-08-01 16:00:00,Sat1_10,Sat2_10,788.2805121461819
2020-08-01 16:05:00,Sat1_10,Sat2_10,817.8162916305694
2020-08-01 16:10:00,Sat1_10,Sat2_10,819.0154688680672
2020-08-01 16:15:00,Sat1_10,Sat2_10,791.4917527463952
2020-08-01 16:20:00,Sat1_10,Sat2_10,744.507282135834
2020-08-01 16:25:00,Sat1_10,Sat2_10,695.9325999817707
2020-08-01 16:30:00,Sat1_10,Sat2_10,667.5736409368154
2020-08-01 16:00:00,Sat1_10,Sat1_11,1971.9637837869166
2020-08-01 16:05:00,Sat1_10,Sat1_11,1971.9637837869159
2020-08-01 16:10:00,Sat1_10,Sat1_11,1971.9637837869175
2020-08-01 16:15:00,Sat1_10,Sat1_11,1971.9637837869195
2020-08-01 16:20:00,Sat1_10,Sat1_11,1971.9637837869188
2020-08-01 16:25:00,Sat1_10,Sat1_11,1971.9637837869138
2020-08-01 16:30:00,Sat1_10,Sat1_11,1971.9163787069176
2020-08-01 16:00:00,Sat1_11,Sat2_11,815.4503835363354
2020-08-01 16:05:00,Sat1_11,Sat2_11,820.5778787660395
2020-08-01 16:10:00,Sat1_11,Sat2_11,796.4790458269451
2020-08-01 16:15:00,Sat1_11,Sat2_11,751.1815774081718
2020-08-01 16:20:00,Sat1_11,Sat2_11,701.5783008558279
2020-08-01 16:25:00,Sat1_11,Sat2_11,669.4689767213224
2020-08-01 16:30:00,Sat1_11,Sat2_11,671.1981459877276
2020-08-01 16:00:00,Sat1_11,Sat1_12,1971.9637837869218
2020-08-01 16:05:00,Sat1_11,Sat1_12,1971.9637837869213
2020-08-01 16:10:00,Sat1_11,Sat1_12,1971.963783786921
2020-08-01 16:15:00,Sat1_11,Sat1_12,1971.9637837869225
2020-08-01 16:20:00,Sat1_11,Sat1_12,1971.9637837869245
2020-08-01 16:25:00,Sat1_11,Sat1_12,1971.9637837869216
2020-08-01 16:30:00,Sat1_11,Sat1_12,1971.9163787070852
2020-08-01 16:00:00,Sat1_12,Sat2_12,821.6284959818989
2020-08-01 16:05:00,Sat1_12,Sat2_12,801.0931405970795
2020-08-01 16:10:00,Sat1_12,Sat2_12,757.7739507872665
2020-08-01 16:15:00,Sat1_12,Sat2_12,707.5281516079124
2020-08-01 16:20:00,Sat1_12,Sat2_12,671.9517946367349
2020-08-01 16:25:00,Sat1_12,Sat2_12,668.8942318973851
2020-08-01 16:30:00,Sat1_12,Sat2_12,699.9855881115867
2020-08-01 16:00:00,Sat1_12,Sat1_13,1971.9637837869222
2020-08-01 16:05:00,Sat1_12,Sat1_13,1971.9637837869213
2020-08-01 16:10:00,Sat1_12,Sat1_13,1971.9637837869232
2020-08-01 16:15:00,Sat1_12,Sat1_13,1971.9637837869238
2020-08-01 16:20:00,Sat1_12,Sat1_13,1971.9637837869252
2020-08-01 16:25:00,Sat1_12,Sat1_13,1971.963783786921
2020-08-01 16:30:00,Sat1_12,Sat1_13,1971.9163787074783
2020-08-01 16:00:00,Sat1_13,Sat2_13,805.3056717679817
2020-08-01 16:05:00,Sat1_13,Sat2_13,764.2395127647088
2020-08-01 16:10:00,Sat1_13,Sat2_13,713.7322543929122
2020-08-01 16:15:00,Sat1_13,Sat2_13,675.0138859373627
2020-08-01 16:20:00,Sat1_13,Sat2_13,667.1834845372443
2020-08-01 16:25:00,Sat1_13,Sat2_13,694.4482669508776
2020-08-01 16:30:00,Sat1_13,Sat2_13,742.6579506466168
2020-08-01 16:00:00,Sat1_13,Sat1_14,1971.9637837869193
2020-08-01 16:05:00,Sat1_13,Sat1_14,1971.9637837869172
2020-08-01 16:10:00,Sat1_13,Sat1_14,1971.9637837869188
2020-08-01 16:15:00,Sat1_13,Sat1_14,1971.9637837869197
2020-08-01 16:20:00,Sat1_13,Sat1_14,1971.9637837869213
2020-08-01 16:25:00,Sat1_13,Sat1_14,1971.9637837869182
2020-08-01 16:30:00,Sat1_13,Sat1_14,1971.9163787079783
2020-08-01 16:00:00,Sat1_14,Sat2_14,770.5337188494142
2020-08-01 16:05:00,Sat1_14,Sat2_14,720.1381752197171
