SatellitePair,Distance
Sat47 to Sat48,6276.1431395740265
Sat47 to Sat48,6276.143139574027
Sat47 to Sat48,6276.1431395740265
Sat47 to Sat48,6276.008306878233
Sat48 to Sat41,6276.143139574028
Sat48 to Sat41,6276.143139574028
Sat48 to Sat41,6276.14313957403
Sat48 to Sat41,6276.143139574028
Sat48 to Sat41,6276.143139574035
Sat48 to Sat41,6276.143139574033
Sat48 to Sat41,6276.008306870251
