Country,Region,Population,Internet Users,% of Population,,
Mexico,America,131249817,110400000,84.11,5424080321,0.020353681
Micronesia,Oceania,117042,56193,48.01,5424080321,1.04E-05
Moldova,Europe,4018891,3067446,76.33,5424080321,0.000565524
Monaco,Europe,39698,38507,97,5424080321,7.10E-06
Mongolia,Asia,3365922,3001700,89.18,5424080321,0.000553403
Monserrat,America,4997,3400,68.04,5424080321,6.27E-07
Montenegro,Europe,628194,547000,87.08,5424080321,0.000100847
Morocco,Africa,37344795,25589581,68.52,5424080321,0.004717773
Mozambique,Africa,32163047,6523613,20.28,5424080321,0.001202713
Myanmar,Asia,55003362,28530000,51.87,5424080321,0.005259878
Namibia,Africa,2587344,1347418,52.08,5424080321,0.000248414
Nauru,Oceania,10936,10200,93.27,5424080321,1.88E-06
Nepal,Asia,30013559,21900000,72.97,5424080321,0.004037551
Netherlands,Europe,17196401,16383879,95.28,5424080321,0.003020582
New Caledonia,Oceania,290032,237826,82,5424080321,4.38E-05
New Zealand,Oceania,4886729,4561987,93.35,5424080321,0.000841062
Nicaragua,America,6753914,4272300,63.26,5424080321,0.000787654
Niger,Africa,25130817,3363848,13.39,5424080321,0.000620169
Nigeria,Africa,211400708,154301195,72.99,5424080321,0.028447439
Niue,Oceania,1644,1485,90.33,5424080321,2.74E-07
Norfolk Island,Oceania,1748,800,45.77,5424080321,1.47E-07
North Macedonia,Europe,2083236,1687421,81,5424080321,0.000311098
Northern Marianas,Oceania,58122,45300,77.94,5424080321,8.35E-06
Norway,Europe,5490867,5388956,98.14,5424080321,0.000993524
Oman,Middle East,5328207,5061797,95,5424080321,0.000933208
Pakistan,Asia,228062544,116000000,50.86,5424080321,0.021386114
Palau,Oceania,18235,18900,103.65,5424080321,3.48E-06
Palestine,Middle East,5302778,3977083,75,5424080321,0.000733227
Panama,America,4427158,3411900,77.07,5424080321,0.000629028
Papau New Guinea,Oceania,9232613,1099945,11.91,5424080321,0.000202789
Paraguay,America,7276583,6177748,84.9,5424080321,0.001138948
Peru,America,33729630,29601700,87.76,5424080321,0.00545746
Philippines,Asia,111987776,101900000,90.99,5424080321,0.018786595
Poland,Europe,37921592,34697848,91.5,5424080321,0.006397001
Portugal,Europe,10148962,8945900,88.15,5424080321,0.001649293
Puerto Rico,America,2747603,3047311,110.91,5424080321,0.000561812
Qatar,Middle East,2962541,3179400,107.32,5424080321,0.000586164
Reunion (FR),Africa,901686,608000,67.43,5424080321,0.000112093
Romania,Europe,19033165,14845869,78,5424080321,0.00273703
Russia,Europe,146035672,124630000,85.34,5424080321,0.022977167
Rwanda,Africa,13276513,5981638,45.05,5424080321,0.001102793
Saint Helena (UK),Africa,6086,2300,37.79,5424080321,4.24E-07
Saint Lucia,America,184985,142970,77.29,5424080321,2.64E-05
Samoa,Oceania,200578,141500,70.55,5424080321,2.61E-05
San Marino,Europe,34047,20428,60,5424080321,3.77E-06
Sao Tome & Principe,Africa,223368,63864,28.59,5424080321,1.18E-05
Saudi Arabia,Middle East,35719422,35005034,98,5424080321,0.006453635
Senegal,Africa,17196301,9749527,56.7,5424080321,0.001797453
Serbia,Europe,8680974,6771160,78,5424080321,0.001248352
Seychelles,Africa,98908,71300,72.09,5424080321,1.31E-05
Sierra Leone,Africa,8141343,1043725,12.82,5424080321,0.000192424
Singapore,Asia,5925416,5451383,92,5424080321,0.001005034
Sint Maarten (NL),America,43675,39100,89.52,5424080321,7.21E-06
Slovakia,Europe,5463920,4917528,90,5424080321,0.00090661
Slovenia,Europe,2079400,1809078,87,5424080321,0.000333527
Solomon Islands,Oceania,715614,172400,24.09,5424080321,3.18E-05
Somalia,Africa,16359504,2089900,12.77,5424080321,0.0003853
South Africa,Africa,60041994,34545165,57.54,5424080321,0.006368852
South Sudan,Africa,11381378,900716,7.91,5424080321,0.000166059
Spain,Europe,46784067,43509182,93,5424080321,0.008021486
Sri Lanka,Asia,21558620,8879700,41.19,5424080321,0.001637089
St. Barthélemy (FR),America,9926,7079,71.32,5424080321,1.31E-06
St. Kitts & Nevis,America,53811,45800,85.11,5424080321,8.44E-06
St. Martin (FR),America,39761,19900,50.05,5424080321,3.67E-06
St. Pierre & Maquelon,America,5749,5200,90.45,5424080321,9.59E-07
St. Vincent & Grenadines,America,111508,91200,81.79,5424080321,1.68E-05
Sudan,Africa,44909353,13124100,29.22,5424080321,0.002419599
Suriname,America,595213,428200,71.94,5424080321,7.89E-05
Svalbard & Jan Mayen,Europe,2379,2331,97.98,5424080321,4.30E-07
Sweden,Europe,10202368,9927075,97.3,5424080321,0.001830186
Switzerland,Europe,8758482,8426800,96.21,5424080321,0.001553591
Syria,Middle East,18224180,8500000,46.64,5424080321,0.001567086
Taiwan,Asia,23886225,22639500,94.78,5424080321,0.004173887
Tajikistan,Asia,9898203,3013256,30.44,5424080321,0.000555533
Tanzania,Africa,61498437,23142960,37.63,5424080321,0.004266707
Thailand,Asia,70082569,61900000,88.32,5424080321,0.011412073
Timor-Leste,Asia,1360401,515000,37.86,5424080321,9.49E-05
Togo,Africa,8478250,1011837,11.93,5424080321,0.000186545
Tokelau,Oceania,1385,800,57.76,5424080321,1.47E-07
Tonga,Oceania,107681,80100,74.39,5424080321,1.48E-05
Trinidad & Tobago,America,1406800,1142200,81.19,5424080321,0.000210579
Tunisia,Africa,11935766,8170000,68.45,5424080321,0.001506246
Turkey,Europe,85839173,72500000,84.46,5424080321,0.013366321
Turkmenistan,Asia,6177955,1562794,25.3,5424080321,0.000288121
Turks & Caicos,America,39581,37000,93.48,5424080321,6.82E-06
Tuvalu,Oceania,12034,6400,53.18,5424080321,1.18E-06
Uganda,Africa,47123531,18502166,39.26,5424080321,0.003411116
Ukraine,Europe,43314442,40912381,94.45,5424080321,0.007542731
United Arab Emirates,Middle East,10088517,12176400,120.7,5424080321,0.002244878
United Kingdom,Europe,68468662,65045228,95,5424080321,0.011991937
United States,America,335226482,312320000,93.17,5424080321,0.057580268
Uruguay,America,3493160,3261800,93.38,5424080321,0.000601355
US Virgin Islands,America,104179,67540,64.83,5424080321,1.25E-05
Uzbekistan,Asia,34271815,17161534,50.07,5424080321,0.003163953
Vanuatu,Oceania,319356,122900,38.48,5424080321,2.27E-05
Vatican City State,Europe,804,583,72.51,5424080321,1.07E-07
Venezuela,America,28887118,22735000,78.7,5424080321,0.004191494
Vietnam,Asia,98745016,84919500,86,5424080321,0.015656018
Wallis & Futuna,Oceania,10932,6200,56.71,5424080321,1.14E-06
Western Sahara,Africa,611875,28000,4.58,5424080321,5.16E-06
Yemen,Middle East,30938435,8353377,27,5424080321,0.001540054
Zambia,Africa,18920651,9870427,52.17,5424080321,0.001819742
Zimbabwe,Africa,15092171,8400000,55.66,5424080321,0.00154865
